Timestamp,Temperature, TemperatureDelta, MappedTemperature
0,32,0,26.99896
0.01999999,31.98466,0,30.00323
0.03999998,31.96936,0,29.99278
0.05999998,31.95411,0,29.98237
0.07999997,31.9389,0,29.972
0.09999996,31.92373,0,29.96168
0.12,31.9086,0,29.9514
0.14,31.89351,0,29.94116
0.1599999,31.87847,0,29.93097
0.1799999,31.86347,0,29.92082
0.1999999,31.84851,0,29.91071
0.2199999,31.83359,0,29.90064
0.2399999,31.81872,0,29.89061
0.2599999,31.80388,0,29.88062
0.2799999,31.78909,0,29.87068
0.2999999,31.77434,0,29.86077
0.3199999,31.75963,0,29.85091
0.3399999,31.74496,0,29.84109
0.3599999,31.73033,0,29.83131
0.3799999,31.71574,0,29.82157
0.3999999,31.70119,0,29.81186
0.4199998,31.68669,0,29.8022
0.4399998,31.67222,0,29.79258
0.4599998,31.65779,0,29.783
0.4799998,31.64341,0,29.77345
0.4999998,31.62906,0,29.76394
0.5199998,31.61476,0,29.75448
0.5399998,31.60049,0,29.74505
0.5599998,31.58626,0,29.73566
0.5799998,31.57207,0,29.72631
0.5999998,31.55793,0,29.71699
0.6199998,31.54382,0,29.70771
0.6399997,31.52975,0,29.69847
0.6599998,31.51572,0,29.68927
0.6799998,31.50173,0,29.68011
0.6999997,31.48778,0,29.67098
0.7199997,31.47387,0,29.66189
0.7399997,31.46,0,29.65284
0.7599998,31.44616,0,29.64382
0.7799997,31.43237,0,29.63483
0.7999997,31.41861,0,29.62589
0.8199997,31.40489,0,29.61698
0.8399997,31.39121,0,29.6081
0.8599997,31.37756,0,29.59926
0.8799997,31.36396,0,29.59046
0.8999997,31.35039,0,29.58169
0.9199997,31.33686,0,29.57296
0.9399996,31.32337,0,29.56426
0.9599997,31.30992,0,29.5556
0.9799997,31.2965,0,29.54696
0.9999996,31.28312,0,29.53837
1.02,31.26978,0,29.52981
1.04,31.25647,0,29.52128
1.06,31.24321,0,29.51278
1.08,31.22997,0,29.50432
1.1,31.21678,0,29.4959
1.12,31.20362,0,29.4875
1.14,31.1905,0,29.47914
1.16,31.17742,0,29.47081
1.18,31.16437,0,29.46252
1.2,31.15136,0,29.45426
1.22,31.13839,0,29.44603
1.24,31.12545,0,29.43783
1.26,31.11255,0,29.42966
1.279999,31.09968,0,29.42153
1.3,31.08685,0,29.41343
1.32,31.07405,0,29.40536
1.34,31.06129,0,29.39732
1.36,31.04857,0,29.38931
1.38,31.03588,0,29.38133
1.399999,31.02323,0,29.37339
1.419999,31.01061,0,29.36547
1.439999,30.99803,0,29.35759
1.459999,30.98548,0,29.34974
1.479999,30.97297,0,29.34191
1.5,30.96049,0,29.33412
1.52,30.94805,0,29.32636
1.539999,30.93564,0,29.31863
1.559999,30.92327,0,29.31092
1.579999,30.91093,0,29.30325
1.599999,30.89863,0,29.29561
1.619999,30.88636,0,29.28799
1.639999,30.87412,0,29.28041
1.659999,30.86192,0,29.27285
1.679999,30.84975,0,29.26533
1.699999,30.83762,0,29.25783
1.719999,30.82552,0,29.25036
1.739999,30.81345,0,29.24292
1.759999,30.80142,0,29.23551
1.779999,30.78942,0,29.22813
1.799999,30.77745,0,29.22077
1.819999,30.76552,0,29.21344
1.839999,30.75362,0,29.20615
1.859999,30.74175,0,29.19887
1.879999,30.72992,0,29.19163
1.899999,30.71812,0,29.18441
1.919999,30.70635,0,29.17723
