Timestamp,Temperature, TemperatureDelta, MappedTemperature
0,32,0,51.00105
0.01999999,32.0326,0.03259723,59.87931
0.03999998,32.0651,0.03250638,59.83635
0.05999998,32.09752,0.03241578,59.79369
0.07999997,32.12984,0.03232544,59.75131
0.09999996,32.16208,0.03223534,59.70922
0.12,32.19423,0.0321455,59.66743
0.14,32.22628,0.03205591,59.62592
0.1599999,32.25825,0.03196657,59.58469
0.1799999,32.29012,0.03187748,59.54374
0.1999999,32.32191,0.03178863,59.50306
0.2199999,32.35361,0.03170003,59.46265
0.2399999,32.38522,0.03161169,59.42252
0.2599999,32.41675,0.03152359,59.38266
0.2799999,32.44818,0.03143572,59.34306
0.2999999,32.47953,0.03134811,59.30373
0.3199999,32.5108,0.03126074,59.26465
0.3399999,32.54197,0.03117361,59.22584
0.3599999,32.57306,0.03108673,59.18728
0.3799999,32.60405,0.03100009,59.14897
0.3999999,32.63497,0.0309137,59.11092
0.4199998,32.66579,0.03082754,59.07312
0.4399998,32.69654,0.03074162,59.03555
0.4599998,32.72719,0.03065594,58.99824
0.4799998,32.75776,0.0305705,58.96117
0.4999998,32.78825,0.0304853,58.92434
0.5199998,32.81865,0.03040033,58.88774
0.5399998,32.84896,0.03031561,58.85138
0.5599998,32.8792,0.03023111,58.81525
0.5799998,32.90934,0.03014686,58.77936
0.5999998,32.93941,0.03006284,58.7437
0.6199998,32.96939,0.02997905,58.70826
0.6399997,32.99928,0.0298955,58.67305
0.6599998,33.02909,0.02981218,58.63806
0.6799998,33.05882,0.02972909,58.60329
0.6999997,33.08847,0.02964623,58.56874
0.7199997,33.11803,0.02956361,58.53441
0.7399997,33.14751,0.02948121,58.5003
0.7599998,33.17691,0.02939905,58.46639
0.7799997,33.20623,0.02931711,58.4327
0.7999997,33.23547,0.0292354,58.39922
0.8199997,33.26462,0.02915392,58.36595
0.8399997,33.29369,0.02907267,58.33288
0.8599997,33.32269,0.02899164,58.30002
0.8799997,33.3516,0.02891084,58.26736
0.8999997,33.38043,0.02883026,58.2349
0.9199997,33.40918,0.02874991,58.20264
0.9399996,33.43785,0.02866978,58.17058
0.9599997,33.46644,0.02858988,58.13871
0.9799997,33.49495,0.02851019,58.10704
0.9999996,33.52338,0.02843073,58.07556
1.02,33.55173,0.0283515,58.04427
1.04,33.58001,0.02827248,58.01317
1.06,33.6082,0.02819369,57.98226
1.08,33.63631,0.02811511,57.95153
1.1,33.66435,0.02803675,57.92099
1.12,33.69231,0.02795861,57.89063
1.14,33.72019,0.02788069,57.86046
1.16,33.74799,0.02780298,57.83046
1.18,33.77572,0.02772549,57.80064
1.2,33.80337,0.02764822,57.771
1.22,33.83094,0.02757117,57.74154
1.24,33.85843,0.02749432,57.71225
1.26,33.88585,0.0274177,57.68313
1.279999,33.91319,0.02734128,57.65418
1.3,33.94045,0.02726508,57.6254
1.32,33.96764,0.02718909,57.59679
1.34,33.99475,0.02711331,57.56835
1.36,34.02179,0.02703775,57.54007
1.38,34.04876,0.02696239,57.51196
1.399999,34.07564,0.02688724,57.48401
1.419999,34.10246,0.02681231,57.45622
1.439999,34.12919,0.02673758,57.4286
1.459999,34.15586,0.02666306,57.40113
1.479999,34.18245,0.02658875,57.37382
1.5,34.20896,0.02651464,57.34667
1.52,34.2354,0.02644075,57.31967
1.539999,34.26177,0.02636705,57.29283
1.559999,34.28806,0.02629357,57.26614
1.579999,34.31428,0.02622028,57.2396
1.599999,34.34043,0.02614721,57.21321
1.619999,34.3665,0.02607433,57.18697
1.639999,34.3925,0.02600167,57.16088
1.659999,34.41843,0.0259292,57.13494
1.679999,34.44429,0.02585693,57.10915
1.699999,34.47007,0.02578487,57.0835
1.719999,34.49578,0.025713,57.05799
1.739999,34.52143,0.02564134,57.03262
1.759999,34.547,0.02556987,57.0074
1.779999,34.57249,0.02549861,56.98232
1.799999,34.59792,0.02542755,56.95737
1.819999,34.62328,0.02535668,56.93256
1.839999,34.64857,0.02528601,56.9079
1.859999,34.67378,0.02521553,56.88336
1.879999,34.69893,0.02514525,56.85897
1.899999,34.724,0.02507517,56.83471
1.919999,34.74901,0.02500528,56.81058
1.939999,34.77394,0.02493559,56.78658
1.959999,34.79881,0.02486609,56.76271
1.979999,34.8236,0.02479679,56.73898
1.999999,34.84833,0.02472768,56.71537
2.019999,34.87299,0.02465877,56.69189
2.039999,34.89758,0.02459004,56.66854
2.059999,34.9221,0.02452151,56.64532
2.079999,34.94655,0.02445316,56.62222
2.099999,34.97094,0.02438501,56.59924
2.119999,34.99525,0.02431705,56.57639
2.139999,35.0195,0.02424928,56.55367
2.159999,35.04369,0.02418169,56.53106
2.179999,35.0678,0.0241143,56.50857
2.199999,35.09185,0.02404709,56.48621
2.219999,35.11583,0.02398007,56.46396
2.239999,35.13974,0.02391323,56.44183
2.259999,35.16359,0.02384659,56.41982
2.279999,35.18737,0.02378012,56.39793
2.299999,35.21108,0.02371384,56.37614
2.319999,35.23473,0.02364775,56.35448
2.339999,35.25831,0.02358185,56.33294
2.359999,35.28183,0.02351612,56.3115
2.379999,35.30527,0.02345058,56.29018
2.399999,35.32866,0.02338522,56.26896
2.419999,35.35198,0.02332005,56.24786
2.439999,35.37523,0.02325505,56.22687
2.459999,35.39842,0.02319024,56.20599
2.479999,35.42155,0.02312561,56.18522
2.499999,35.44461,0.02306116,56.16455
2.519999,35.4676,0.02299688,56.144
2.539999,35.49054,0.02293279,56.12354
2.559999,35.5134,0.02286887,56.1032
2.579999,35.53621,0.02280514,56.08295
2.599999,35.55895,0.02274158,56.06282
2.619999,35.58163,0.02267819,56.04278
2.639999,35.60424,0.02261499,56.02285
2.659999,35.6268,0.02255196,56.00302
2.679999,35.64928,0.0224891,55.98329
2.699999,35.67171,0.02242642,55.96367
2.719999,35.69408,0.02236392,55.94414
2.739999,35.71638,0.02230159,55.92471
2.759999,35.73862,0.02223944,55.90538
2.779999,35.7608,0.02217745,55.88615
2.799999,35.78291,0.02211564,55.86701
2.819999,35.80496,0.022054,55.84797
2.839999,35.82695,0.02199253,55.82903
2.859999,35.84888,0.02193124,55.81018
2.879999,35.87075,0.02187012,55.79142
2.899999,35.89256,0.02180916,55.77277
2.919999,35.91431,0.02174838,55.7542
2.939999,35.936,0.02168776,55.73573
2.959999,35.95762,0.02162732,55.71734
2.979999,35.97919,0.02156704,55.69905
2.999999,36.0007,0.02150694,55.68085
3.019999,36.02214,0.021447,55.66274
3.039999,36.04353,0.02138722,55.64472
3.059999,36.06486,0.02132761,55.62679
3.079999,36.08613,0.02126817,55.60895
3.099999,36.10734,0.0212089,55.59119
3.119999,36.12849,0.02114979,55.57353
3.139999,36.14958,0.02109084,55.55595
3.159999,36.17061,0.02103206,55.53845
3.179999,36.19158,0.02097344,55.52105
3.199999,36.2125,0.02091499,55.50372
3.219999,36.23335,0.0208567,55.48648
3.239999,36.25415,0.02079857,55.46933
3.259999,36.27489,0.0207406,55.45226
3.279999,36.29557,0.0206828,55.43526
3.299999,36.3162,0.02062516,55.41836
3.319999,36.33677,0.02056767,55.40154
3.339999,36.35728,0.02051035,55.38479
3.359999,36.37774,0.02045318,55.36813
3.379999,36.39813,0.02039617,55.35154
3.399999,36.41847,0.02033933,55.33504
3.419999,36.43876,0.02028264,55.31861
3.439999,36.45898,0.02022611,55.30226
3.459999,36.47915,0.02016974,55.286
3.479999,36.49926,0.02011352,55.26981
3.499999,36.51932,0.02005747,55.25369
3.519999,36.53932,0.02000156,55.23766
3.539999,36.55927,0.01994582,55.22169
3.559999,36.57916,0.01989023,55.20581
3.579999,36.599,0.01983479,55.19
3.599999,36.61877,0.01977951,55.17427
3.619999,36.6385,0.01972439,55.15861
3.639999,36.65817,0.01966942,55.14302
3.659999,36.67778,0.0196146,55.12751
3.679999,36.69735,0.01955993,55.11207
3.699999,36.71685,0.01950541,55.0967
3.719999,36.7363,0.01945105,55.0814
3.739999,36.7557,0.01939684,55.06618
3.759999,36.77504,0.01934278,55.05103
3.779999,36.79433,0.01928887,55.03594
3.799999,36.81356,0.01923511,55.02093
3.819999,36.83274,0.0191815,55.00599
3.839999,36.85187,0.01912804,54.99111
3.859999,36.87094,0.01907473,54.97631
3.879999,36.88997,0.01902157,54.96157
3.899999,36.90893,0.01896856,54.94691
3.919999,36.92785,0.01891569,54.93231
3.939999,36.94671,0.01886297,54.91778
3.959999,36.96552,0.0188104,54.90331
3.979999,36.98428,0.01875797,54.88891
3.999999,37.00299,0.0187057,54.87458
4.019999,37.02164,0.01865356,54.86031
4.039999,37.04024,0.01860157,54.84611
4.059999,37.05879,0.01854973,54.83197
4.079998,37.07729,0.01849803,54.8179
4.099998,37.09574,0.01844647,54.80389
4.119998,37.11413,0.01839506,54.78994
4.139998,37.13248,0.01834379,54.77606
4.159998,37.15077,0.01829267,54.76225
4.179998,37.16901,0.01824168,54.74849
4.199998,37.1872,0.01819084,54.73479
4.219998,37.20534,0.01814014,54.72116
4.239998,37.22343,0.01808959,54.70759
4.259998,37.24147,0.01803917,54.69408
4.279998,37.25946,0.0179889,54.68063
4.299998,37.2774,0.01793876,54.66724
4.319998,37.29529,0.01788876,54.65392
4.339998,37.31313,0.01783891,54.64065
4.359998,37.33091,0.01778919,54.62744
4.379999,37.34865,0.01773961,54.61429
4.399999,37.36634,0.01769017,54.6012
4.419999,37.38398,0.01764087,54.58817
4.439999,37.40157,0.0175917,54.5752
4.459999,37.41912,0.01754267,54.56227
4.479999,37.43661,0.01749378,54.54942
4.499999,37.45406,0.01744502,54.53661
4.519999,37.47145,0.01739641,54.52386
4.539999,37.4888,0.01734792,54.51118
4.559999,37.5061,0.01729957,54.49854
4.579998,37.52335,0.01725135,54.48596
4.599998,37.54055,0.01720328,54.47344
4.619998,37.55771,0.01715533,54.46098
4.639998,37.57482,0.01710751,54.44856
4.659998,37.59188,0.01705983,54.4362
4.679998,37.60889,0.01701229,54.4239
4.699998,37.62585,0.01696487,54.41164
4.719998,37.64277,0.01691759,54.39945
4.739998,37.65964,0.01687044,54.38731
4.759998,37.67646,0.01682342,54.37521
4.779998,37.69324,0.01677653,54.36317
4.799998,37.70997,0.01672977,54.35119
4.819998,37.72665,0.01668315,54.33925
4.839998,37.74329,0.01663665,54.32737
4.859998,37.75988,0.01659028,54.31554
4.879998,37.77642,0.01654405,54.30376
4.899998,37.79292,0.01649794,54.29203
4.919998,37.80938,0.01645195,54.28035
4.939998,37.82578,0.0164061,54.26872
4.959998,37.84214,0.01636038,54.25714
4.979998,37.85846,0.01631478,54.24562
4.999998,37.87473,0.01626931,54.23414
5.019998,37.89095,0.01622397,54.22271
5.039998,37.90713,0.01617875,54.21133
5.059998,37.92326,0.01613366,54.2
5.079998,37.93935,0.01608869,54.18871
5.099998,37.9554,0.01604385,54.17747
5.119998,37.9714,0.01599914,54.16629
5.139998,37.98735,0.01595455,54.15515
5.159998,38.00326,0.01591008,54.14405
